day,group,snail,length,metas,cercs,arena,trial,time.eating,surfacing,bouts,shakes,shake.bout,vid.min,vid.sec,vid.length,distance,sec,mean.vel,vel.var,turn.var
1d,x,pe25,5.9,24,et11,a6,1,3681,0,1,10,10,61,22,3682,301.5,3705,0.081376518,0.0345,3230.5
1d,x,pe26,7.5,7,et9,a11,1,NA,NA,NA,NA,NA,47,11,2831,3798.7,2830,1.34229682,0.3224,1153.3
1d,x,pe27,6.4,17,et8,a14,1,161,7,6,116,19.33333333,60,14,3614,5273.1,3635,1.450646492,0.4729,1616.4
1d,x,pe28,7.3,26,et1,a1,2,362,12,21,432,20.57142857,61,35,3695,4432.8,3715,1.193216689,0.3985,2023.2
1d,x,pe29,6.7,13,et4,a10,2,1036,6,0,0,NA,59,54,3594,2209.2,3615,0.611120332,0.1615,3033.2
1d,x,pe30,6.4,8,et5,a8,2,0,2,0,0,NA,59,34,3574,3632.7,3595,1.010486787,0.3392,2471.2
1d,u,pu5,6.2,NA,none,a2,1,0,8,0,0,NA,58,26,3506,1511.5,3525,0.428794326,0.2486682,1801.7
1d,u,pu7,7.4,NA,none,a6,1,49,7,1,1,1,55,43,3343,6863.4,3365,2.039643388,0.2436,1257.1
1d,u,pu8,5.9,NA,none,a9,2,1760,2,0,0,NA,59,44,3584,2217,3605,0.614979196,0.1877,3838.2
1d,u,pu10,5.7,NA,none,a12,2,1250,0,0,0,NA,60,54,3654,205,3675,0.055782313,0.0122,2463.3
1d,u,pu11,4.3,NA,none,a14,2,90,6,0,0,NA,61,23,3683,3632.7,3705,0.98048583,0.4562,2724.7
1d,u,pu12,6.1,NA,none,a1,1,2137,0,0,0,NA,60,54,3654,449.6,3675,0.122340136,0.0315,2939.5
1d,u,pu13,6.2,NA,none,a3,1,189,6,0,0,NA,60,27,3627,1614.7,3650,0.442383562,0.182,4757.2
1d,u,pu14,6.3,NA,none,a5,1,2883,1,0,0,NA,58,3,3483,487.2,3505,0.139001427,0.1318,2833.2
1d,u,pu15,5.8,NA,none,a7,1,519,5,0,0,NA,56,31,3391,1664,3410,0.48797654,0.1849,4194.4
1d,u,pu16,7.3,NA,none,a9,2,2040,1,0,0,NA,59,35,3575,1323.6,3595,0.368178025,0.1483,5373.7
1d,u,pu17,NA,NA,none,a11,2,393,0,0,0,NA,58,59,3539,NA,NA,NA,NA,NA
1d,u,pu18,4.7,NA,none,a13,2,130,5,0,0,NA,57,37,3457,1160.4,3480,0.333448276,0.1128,3355.3
1d,u,pu19,5.6,NA,none,a8,1,285,0,0,0,NA,59,49,3589,3150.4,3615,0.871479945,0.4649,2819.9
1d,u,pu20,6.6,NA,none,a5,1,2293,3,0,0,NA,59,34,3574,1483.4,3595,0.412628651,0.1216,4180.1
1d,u,pu21,4.9,NA,none,a1,1,810,2,0,0,NA,59,41,3581,2108.1,3600,0.585583333,0.3127,4120.2
1d,u,pu22,7.2,NA,none,a10,1,319,7,0,0,NA,59,5,3545,5946.1,3565,1.667910238,0.4143,1754.2
1d,u,pu23,8.4,NA,none,a15,2,546,9,0,0,NA,62,36,3756,2609.8,3780,0.69042328,0.2822,2185.5
1d,u,pu24,7.2,NA,none,a4,2,NA,NA,NA,NA,NA,46,15,2775,3333.6,2785,1.196983842,0.5135,2110.1
1d,u,pu25,7.9,NA,none,a14,2,498,5,0,0,NA,62,28,3748,1433.1,3770,0.380132626,0.0737,2717.1
1d,u,pu26,7.2,NA,none,a3,1,126,5,1,3,3,61,23,3683,2437.8,3705,0.657975709,0.2516,2958.2
1d,u,pu27,5.8,NA,none,a15,1,0,7,0,0,NA,61,19,3679,1112.6,3700,0.300702703,0.2952,3717
1d,u,pu28,6.1,NA,none,a13,1,NA,NA,NA,NA,NA,30,47,1847,2381.3,1715,1.38851312,0.3852,2523.4
1d,u,pu29,6.2,NA,none,a2,1,1618,2,0,0,NA,60,13,3613,2693.9,3635,0.741100413,0.4739,2904.7
1d,u,pu30,8.1,NA,none,a7,2,2442,1,0,0,NA,61,34,3694,2007.5,3715,0.540376851,0.4123,4091.2
1d,u,pu31,6.9,NA,none,a5,2,NA,NA,NA,NA,NA,49,13,2953,4575.6,2960,1.545810811,0.4992,2353.9
1d,u,pu32,8,NA,none,a9,2,792,3,0,0,NA,56,7,3367,825,3390,0.243362832,0.111,3798.5
3d,p,pe4,7.5,25,et3,a4,2,1159,4,0,0,NA,62,32,3752,1916.1,3775,0.507576159,0.1926,3048.1
3d,p,pe5,7.4,21,et3,a5,2,1423,4,0,0,NA,59,17,3557,2047.4,3580,0.571899441,0.2284,5196.9
3d,p,pe6,7,15,et3,a3,2,2490,3,0,0,NA,63,1,3781,1923.7,3800,0.506236842,0.0706,2716.7
